# Original catalog: COSMOS2015_Laigle+_v1.1.fits.gz
# 
# Selected: 0 < ip (after correction) < 25.0,
#           ip_FLAGS < 4,
#           TYPE == 0,
#           PHOTOZ > 0,
#           CLASS == 0
# 
# Observe with: Single fibers
# 
# Date: 20 Jul 2021
# 
#  NUMBER  ALPHA_J2000  DELTA_J2000 PHOTOZ  MASS    SFR       u   u_err       B   B_err       V   V_err       r   r_err       i   i_err       z   z_err
   657265 149.66306480  2.296318288   1.39 11.01  -1.56   27.13   -1.00   26.69    0.32   26.50    0.37   25.26    0.16   23.90    0.06   23.00    0.04
   657342 149.76458832  2.296235708   0.40  9.04 -99.00   25.75   -1.00   26.19    0.64   25.87   -1.00   25.88   -1.00   24.72    0.37   23.92    0.27
   657346 149.76130293  2.295473809   0.99 11.13  -2.15   25.70    0.25   25.41    0.13   24.37    0.08   23.29    0.04   22.11    0.02   21.12    0.01
   657350 149.60149764  2.297041160   0.52 10.42  -1.34   26.74    0.57   25.26    0.11   24.05    0.06   22.96    0.03   22.00    0.02   21.55    0.01
   657494 150.48134172  2.297394045   0.88 10.58  -0.54   27.25   -1.00   26.80    0.35   25.34    0.15   24.50    0.08   23.41    0.04   22.55    0.02
   657498 150.72599376  2.296331751   0.92 11.01   0.46   24.53    0.08   24.09    0.05   23.45    0.05   22.94    0.03   22.02    0.02   21.23    0.01
   657599 149.93489238  2.297301505   1.19 10.82  -0.31   25.62    0.19   25.23    0.10   24.80    0.10   24.00    0.05   22.93    0.03   21.95    0.01
   657616 150.15205550  2.296490609   0.86 10.98  -0.14   25.41    0.11   25.14    0.10   24.07    0.06   23.42    0.04   22.23    0.02   21.50    0.01
   657708 149.70557161  2.293796824   0.84 11.21  -9.56   25.62    0.21   24.82    0.09   23.16    0.04   22.21    0.02   20.90    0.01   20.19    0.00
   657721 150.48105453  2.295500225   0.87 11.11 -11.83   26.01    0.32   25.31    0.13   23.87    0.06   22.89    0.03   21.67    0.01   20.81    0.01
   657738 149.50769325  2.297613529   0.97 10.98  -0.13   25.90    0.27   25.60    0.15   24.96    0.14   24.01    0.07   22.85    0.03   21.94    0.01
   657756 149.64161788  2.298653154   0.32  8.75  -2.10   25.85    0.31   25.14    0.13   24.12    0.08   23.59    0.05   23.04    0.04   22.99    0.05
   657848 150.72157683  2.299332944   0.43  8.40  -6.36   27.21   -1.00   27.05    0.40   26.32    0.29   25.69    0.18   24.76    0.10   24.49    0.13
   657879 149.85343161  2.298358937   1.68 10.75   2.03   27.16   -1.00   26.16    0.18   25.05    0.11   24.62    0.08   24.11    0.06   23.54    0.05
   657908 150.59821832  2.299549661   0.41  8.87  -1.71   26.14    0.15   25.54    0.10   24.20    0.06   23.76    0.04   23.42    0.03   23.05    0.02
   657922 149.85471605  2.296899498   0.36  9.94  -0.97   24.56    0.07   23.82    0.04   22.79    0.03   22.10    0.02   21.54    0.01   21.22    0.01
   657928 150.28870424  2.298911194   1.18 10.51  -1.48   27.27   -1.00   27.66    0.59   26.40    0.28   25.31    0.12   24.19    0.06   23.15    0.03
   657979 149.69071171  2.297001184   0.71 10.94  -0.39   25.79    0.22   25.16    0.10   23.79    0.05   22.96    0.03   21.72    0.01   21.19    0.01
   658020 149.45537119  2.298722862   0.86  9.55  -1.03   26.99   -1.00   26.23    0.23   25.27    0.15   24.86    0.10   23.99    0.07   23.54    0.06
   658044 150.48941708  2.297995416   0.94 10.75  -1.24   26.52    0.43   25.86    0.17   24.44    0.08   23.52    0.04   22.32    0.02   21.46    0.01
   658055 149.43849132  2.298740425   1.42 10.43  -0.70   27.10   -1.00   26.50    0.25   26.21    0.27   25.56    0.15   24.77    0.11   23.99    0.08
   658132 149.88515409  2.297504955   0.88 10.79  -2.50   27.13   -1.00   26.09    0.17   24.46    0.07   23.53    0.04   22.34    0.02   21.52    0.01
   658154 149.65723268  2.306576146   0.31 10.76  -0.90   23.17    0.05   22.12    0.03   20.87    0.02   20.17    0.01   19.59    0.01   19.23    0.00
   658155 150.51264021  2.297172220   0.37 10.27  -1.49   24.70    0.10   23.71    0.05   22.43    0.03   21.66    0.02   21.06    0.01   20.70    0.01
   658160 149.58988615  2.299180251   1.32 10.49  -0.37   26.61    0.51   26.39    0.24   25.54    0.18   24.95    0.10   24.03    0.07   22.94    0.03
   658218 149.70969815  2.298949289   0.93  9.40   0.68   27.21   -1.00   27.58   -1.00   26.37    0.34   25.78    0.19   24.84    0.13   24.31    0.11
   658239 149.65768696  2.296251875   1.15 10.24  -2.50   26.27    0.64   25.75    0.24   26.63   -1.00   24.40    0.11   23.77    0.09   22.86    0.06
   658272 149.72358482  2.298864108   0.18  8.63  -2.47   25.22    0.14   24.50    0.07   23.57    0.05   23.15    0.03   22.78    0.03   22.57    0.02
   658300 149.77772655  2.298361215   1.02 10.25  -0.88   26.57    0.50   26.08    0.21   25.40    0.16   24.58    0.08   23.49    0.04   22.67    0.03
   658357 149.80076931  2.297294152   0.38 10.31  -0.79   24.32    0.06   23.38    0.03   22.23    0.02   21.48    0.01   20.92    0.01   20.56    0.00
   658391 150.75306971  2.299672239   0.21  7.51  -4.21   26.51    0.43   26.01    0.18   25.19    0.12   24.92    0.09   24.69    0.11   24.59    0.17
   658424 150.09561320  2.299365964   0.36 10.10  -1.88   25.37    0.10   23.99    0.05   22.84    0.03   22.04    0.02   21.43    0.01   21.10    0.01
   658433 150.59061467  2.297913730   0.12  8.94  -2.73   23.79    0.04   22.93    0.03   21.98    0.02   21.69    0.02   21.26    0.01   21.01    0.01
   658448 150.65264524  2.299719612   1.09 10.16  -0.98   27.15   -1.00   26.66    0.29   25.91    0.21   25.16    0.11   24.10    0.06   23.14    0.04
   658582 149.68798736  2.299137621   0.34  8.89  -5.86   25.91    0.25   25.05    0.09   24.00    0.06   23.49    0.04   23.00    0.03   22.76    0.03
   658583 149.71951078  2.296753189   0.82 10.92   0.23   24.60    0.09   24.40    0.07   23.57    0.05   22.88    0.03   21.77    0.02   21.20    0.01
   658594 149.78395974  2.298967989   1.08 10.93   0.02   26.17    0.35   25.81    0.17   25.26    0.14   24.56    0.10   23.47    0.05   22.41    0.02
   658625 149.57330348  2.299842015   1.41 10.98  -0.16   26.49    0.45   25.34    0.11   24.86    0.10   24.34    0.06   23.20    0.03   22.42    0.02
   658682 150.08262927  2.300341265   0.41  8.75  -1.98   27.12    0.49   26.58    0.26   25.82    0.19   25.07    0.10   24.44    0.08   24.27    0.11
   658788 149.90342110  2.299769978   0.96  9.98  -0.87   26.49    0.42   25.90    0.15   25.39    0.14   24.66    0.08   23.71    0.04   23.07    0.03
   658791 150.00215197  2.299451888   0.76 10.48  -1.09   25.56    0.14   25.04    0.09   23.73    0.05   22.97    0.03   21.78    0.01   21.32    0.01
   658801 149.90229978  2.299883328   0.85 10.32  -2.25   27.26   -1.00   26.79    0.29   25.13    0.11   24.31    0.06   23.08    0.03   22.42    0.02
   658810 149.76755764  2.300510246   1.00  9.49  -1.08   27.14   -1.00   27.04    0.40   26.84    0.46   25.79    0.20   24.80    0.12   24.14    0.09
   658814 149.55421225  2.298955348   0.86 10.80  -0.11   25.17    0.15   25.12    0.10   24.36    0.08   23.70    0.04   22.55    0.02   21.84    0.01
   658844 149.55030895  2.300701046   0.48  8.51  -2.07   27.04    0.76   26.64    0.31   26.44    0.49   25.08    0.16   24.80    0.16   24.28    0.10
   658847 150.72560315  2.299159249   0.77  9.93  -1.21   26.51    0.44   25.73    0.15   24.71    0.09   24.08    0.06   23.05    0.03   22.57    0.03
   658887 150.07394034  2.297984028   2.11 11.67  -0.32   27.48   -1.00   27.59   -1.00   26.95    0.55   25.51    0.16   24.64    0.10   23.58    0.07
   658891 149.57931452  2.300142737   0.77 10.17  -0.57   26.70    0.54   26.13    0.19   25.02    0.11   24.33    0.06   23.24    0.03   22.81    0.03
   658901 149.86224156  2.300298928   0.29  8.86  -1.88   26.14    0.29   25.17    0.09   24.15    0.06   23.72    0.04   23.25    0.03   23.11    0.03
   659053 149.99355575  2.299452465   0.75 10.14  -0.44   24.63    0.07   24.39    0.06   23.69    0.05   23.05    0.03   22.03    0.02   21.68    0.01
   659075 150.67753123  2.298577289   0.47 10.19  -2.37   25.49    0.18   24.07    0.05   22.88    0.03   22.01    0.02   21.30    0.01   20.91    0.01
   659226 149.68471090  2.300018510   0.63 10.09  -0.82   26.00    0.27   25.82    0.16   24.78    0.10   23.94    0.05   22.93    0.03   22.54    0.02
   659376 150.05764851  2.301437390   0.72  9.52 -11.25   27.62   -1.00   27.65   -1.00   26.28    0.26   25.58    0.13   24.42    0.07   23.99    0.07
   659404 149.50485852  2.301004567   1.02 10.23  -1.33   27.03    0.73   26.47    0.25   25.68    0.19   24.83    0.09   23.74    0.05   22.94    0.03
   659416 150.10013557  2.297149879   0.36 10.67 -27.45   24.15    0.04   22.91    0.03   21.59    0.02   20.80    0.01   20.19    0.01   19.82    0.00
   659442 149.93699348  2.298507078   0.87 11.01  -0.11   25.73    0.24   25.23    0.11   24.24    0.07   23.42    0.04   22.30    0.02   21.47    0.01
   659459 150.07486165  2.298666814   0.87 11.18   0.28   24.48    0.05   24.21    0.06   23.47    0.04   22.80    0.03   21.67    0.01   20.87    0.01
   659471 150.09490308  2.297044016   0.36 10.51 -12.43   23.63    0.02   22.52    0.02   21.26    0.02   20.52    0.01   19.95    0.01   19.60    0.00
   659483 150.13838310  2.298917538   0.21  9.32  -8.42   23.87    0.03   23.06    0.03   21.91    0.02   21.49    0.01   21.08    0.01   20.79    0.01
   659488 150.09510888  2.300511119   0.36 11.24  -4.93   22.37    0.01   21.17    0.01   19.87    0.01   19.14    0.01   18.51    0.00   18.16    0.00
   659494 150.00180573  2.299956735   0.75 11.08  -0.47   26.09    0.23   25.45    0.11   23.79    0.05   22.94    0.03   21.65    0.01   21.05    0.01
   659502 150.57094492  2.300078025   0.32  8.95  -5.81   25.49    0.17   24.68    0.07   23.61    0.05   23.11    0.03   22.69    0.02   22.44    0.02
   659558 149.55102346  2.298634232   0.84 11.06  -0.06   24.53    0.09   24.33    0.06   23.49    0.05   22.81    0.03   21.65    0.01   20.94    0.01
   659624 150.10209455  2.301366831   0.32  8.67  -6.91   26.67    0.36   25.84    0.15   24.71    0.09   24.07    0.05   23.53    0.04   23.28    0.05
   659692 149.50331554  2.301815317   1.00  9.62   0.87   27.16   -1.00   26.64    0.30   26.76    0.45   25.94    0.24   24.97    0.13   24.46    0.13
   659730 149.61832158  2.301684842   0.94 10.78  -0.55   26.96    0.61   25.86    0.17   25.02    0.11   24.09    0.06   22.86    0.03   22.08    0.01
   659735 150.73384214  2.301038475   0.68 10.16  -1.17   27.00    0.67   26.08    0.19   25.01    0.11   24.22    0.06   23.08    0.03   22.59    0.03
   659810 149.96211703  2.298183948   0.84 11.10  -2.18   26.19    0.31   25.26    0.11   23.52    0.05   22.59    0.02   21.34    0.01   20.60    0.00
   659998 150.05761607  2.301901982   0.80  9.42  -3.90   27.58   -1.00   27.18    0.43   26.13    0.27   25.11    0.10   24.01    0.06   23.60    0.06
   660070 150.09697770  2.299521823   0.36  9.72  -2.85   25.18    0.16   24.03    0.07   22.93    0.04   22.20    0.03   21.63    0.02   21.36    0.01
   660085 149.84903087  2.299276971   1.16 11.07  -0.92   26.90    0.66   25.80    0.15   25.05    0.12   23.86    0.05   22.72    0.02   21.58    0.01
   660177 150.00735472  2.301237304   0.93 10.86  -9.92   26.63    0.36   25.98    0.16   24.67    0.09   23.60    0.04   22.37    0.02   21.49    0.01
   660282 150.73281265  2.302897555   0.30  8.34 -21.11   27.26   -1.00   27.62   -1.00   26.41    0.31   25.56    0.15   24.98    0.12   24.72    0.16
   660316 150.59802160  2.300167017   0.41 10.27  -1.72   24.09    0.05   23.08    0.03   21.84    0.02   21.13    0.01   20.55    0.01   20.21    0.00
   660319 150.22923078  2.301624546   1.01 10.45   0.08   25.50    0.15   25.22    0.10   24.79    0.10   24.26    0.06   23.33    0.03   22.56    0.02
   660402 150.67622328  2.302405315   1.56 11.01 -11.93   27.16   -1.00   27.57   -1.00   26.35    0.32   25.91    0.20   24.99    0.13   24.20    0.11
   660424 150.17402274  2.300985701   1.11 11.22   0.31   25.28    0.10   25.07    0.10   24.71    0.10   24.05    0.06   23.01    0.03   21.95    0.01
   660433 150.48425527  2.303121392   0.16  7.17  -5.56   27.32   -1.00   26.72    0.31   25.55    0.16   25.23    0.12   24.88    0.12   24.92    0.19
   660438 150.09615620  2.298576537   0.36 11.03  -1.17   23.16    0.02   22.00    0.02   20.68    0.01   19.91    0.01   19.27    0.00   18.89    0.00
   660490 150.05556030  2.303078462   0.74  9.37  -1.36   27.29    0.64   27.19    0.45   26.41    0.36   26.00    0.24   24.64    0.09   24.41    0.13
   660562 150.59419114  2.301212686   0.84 10.24  -1.32   26.14    0.34   25.85    0.17   24.62    0.09   23.93    0.06   22.77    0.03   22.22    0.02
   660605 150.55823060  2.302500140   0.39  8.86  -1.87   26.77    0.54   25.80    0.21   25.29    0.16   24.60    0.09   24.05    0.09   23.80    0.08
   660844 150.54526065  2.299428118   0.86 10.76  -0.38   24.50    0.08   24.20    0.06   23.27    0.04   22.60    0.03   21.44    0.01   20.79    0.01
   660971 149.72868970  2.302859553   1.17  9.93  -1.20   27.04   -1.00   27.26   -1.00   26.27    0.37   26.11    0.32   24.95    0.18   24.09    0.10
   660976 149.79652015  2.302833986   1.23 10.65  -0.92   26.77    0.54   26.24    0.22   25.77    0.20   24.97    0.10   23.92    0.06   22.84    0.03
   660985 149.99155262  2.302744275   1.70 11.28  -0.29   26.75    0.48   25.96    0.17   25.45    0.16   24.97    0.10   23.93    0.05   23.09    0.04
   661005 150.30272230  2.302850763   1.00 10.82  -0.30   25.80    0.20   25.30    0.10   24.83    0.09   24.05    0.05   23.02    0.03   22.15    0.01
   661098 149.79556076  2.303080637   1.13 10.43  -1.13   27.18   -1.00   26.31    0.24   25.73    0.19   24.82    0.10   23.94    0.06   22.97    0.03
   661183 150.11815516  2.302032430   0.76 10.74  -1.26   25.63    0.14   24.93    0.08   23.35    0.04   22.57    0.02   21.33    0.01   20.83    0.01
   661201 150.09087588  2.301688038   0.62  9.97  -2.02   26.71    0.39   25.53    0.13   24.26    0.07   23.45    0.04   22.55    0.02   22.12    0.02
   661242 150.00530380  2.304178029   0.97 10.11  -1.88   27.54   -1.00   27.28    0.44   26.45    0.33   25.17    0.11   24.05    0.05   23.17    0.04
   661289 150.08966303  2.300798508   0.52 10.14  -0.71   24.34    0.05   23.54    0.04   22.47    0.03   21.62    0.02   21.00    0.01   20.73    0.01
   661296 149.82191698  2.303996928   0.84  9.88  -9.17   27.22   -1.00   27.54   -1.00   26.60    0.36   25.28    0.13   24.01    0.06   23.49    0.05
   661308 150.01693934  2.303576585   0.69  9.14  -4.19   27.56   -1.00   26.73    0.29   26.12    0.26   25.22    0.12   24.12    0.06   23.88    0.08
   661404 149.61876685  2.301570014   0.98 10.85  -0.29   24.99    0.13   24.63    0.09   23.77    0.06   22.98    0.03   21.80    0.02   21.04    0.01
   661453 149.86455508  2.302204407   0.34  9.97  -2.03   24.07    0.05   23.05    0.03   21.90    0.02   21.30    0.01   20.76    0.01   20.46    0.00
   661490 149.64186043  2.304467257   0.83  9.97 -25.98   27.29   -1.00   27.57   -1.00   27.35   -1.00   26.23    0.29   24.75    0.12   24.05    0.08
   661539 150.08879173  2.300211249   0.53 10.95  -1.25   25.32    0.11   23.91    0.05   22.54    0.03   21.56    0.01   20.64    0.01   20.19    0.00
   661584 150.22484193  2.303712041   1.07 10.82   0.13   25.76    0.19   25.43    0.12   24.97    0.11   24.34    0.07   23.51    0.04   22.48    0.02
   661606 149.60962666  2.302694613   0.61 10.38 -10.40   26.59    0.54   25.07    0.11   23.70    0.06   22.79    0.03   21.79    0.02   21.29    0.01
   661629 150.49024194  2.301924877   0.47 10.37  -2.92   25.15    0.14   23.79    0.05   22.56    0.03   21.71    0.02   20.98    0.01   20.60    0.00
   661723 150.05668881  2.301392645   0.72 11.44  -6.89   25.33    0.14   24.39    0.07   22.68    0.03   21.81    0.02   20.52    0.01   19.95    0.00
   661757 150.77616523  2.302847991   0.87 11.01  -2.28   26.27    0.37   25.66    0.14   23.96    0.06   22.99    0.03   21.77    0.01   20.94    0.01
   661786 150.08722762  2.305099234   0.07  7.35  -5.49   27.05   -1.00   25.95    0.24   25.48    0.23   25.11    0.16   24.50    0.12   24.21    0.17
   661859 150.76504717  2.305176251   0.16  7.83  -3.84   27.24   -1.00   26.29    0.21   25.62    0.16   25.13    0.11   24.67    0.10   24.46    0.13
   661877 149.64115676  2.304644059   0.85 10.35  -0.55   27.05    0.68   26.21    0.21   25.69    0.19   24.75    0.09   23.72    0.05   22.99    0.03
   661908 150.00773863  2.305583046   0.09  7.24  -4.05   26.39    0.27   26.32    0.20   25.31    0.13   25.01    0.10   24.67    0.09   24.44    0.12
   661959 150.55884621  2.301502446   0.41 10.62  -0.66   24.31    0.06   23.28    0.04   22.06    0.02   21.24    0.01   20.55    0.01   20.16    0.00
   662143 149.62864881  2.301841901   0.80 10.73  -1.83   25.97    0.29   25.35    0.15   23.92    0.06   23.07    0.03   21.81    0.02   21.23    0.01
   662225 149.84663180  2.303600277   0.57  9.32   0.94   24.92   -1.00   25.07    0.49   24.18    0.32   23.57    0.20   23.18    0.19   23.00    0.24
   662239 150.66218080  2.304334036   0.33  9.28  -1.27   25.35    0.16   24.77    0.08   23.81    0.06   23.19    0.04   22.69    0.03   22.39    0.02
   662293 150.30638552  2.302635154   0.99 11.40   0.28   24.78    0.10   24.47    0.07   23.64    0.05   22.90    0.03   21.90    0.02   21.01    0.01
   662525 150.28106491  2.305210062   1.14 10.22  -1.35   27.26   -1.00   27.29    0.41   26.59    0.34   25.41    0.13   24.40    0.07   23.47    0.05
   662532 149.51885520  2.305018913   1.01 11.01  -2.28   27.04    0.76   26.27    0.22   24.90    0.11   23.74    0.05   22.53    0.02   21.52    0.01
   662560 150.70302802  2.304952139   1.16 10.67  -0.90   26.09    0.32   25.98    0.20   25.27    0.15   24.46    0.08   23.44    0.04   22.36    0.02
   662561 149.63882064  2.305967614   0.86 10.06  -1.93   27.29   -1.00   26.92    0.35   25.83    0.20   24.79    0.09   23.60    0.04   22.91    0.03
   662574 149.51506585  2.302908369   0.36 10.82  -0.85   23.58    0.04   22.52    0.02   21.26    0.02   20.50    0.01   19.86    0.01   19.46    0.00
   662651 149.45424915  2.301131101   1.07 11.29   0.18   24.78    0.11   24.35    0.06   23.89    0.06   23.13    0.03   22.15    0.02   21.17    0.01
   662663 150.00937201  2.305785881   0.93 10.44  -1.56   26.66    0.37   26.59    0.26   25.13    0.12   24.26    0.06   23.04    0.03   22.28    0.02
   662750 149.96806869  2.306921445   0.27  7.92  -6.83   27.47   -1.00   26.82    0.29   25.60    0.16   25.11    0.10   24.74    0.09   24.58    0.13
   662762 149.67232017  2.302331945   1.10 10.74  -4.02   26.27    0.45   25.79    0.21   24.96    0.14   23.87    0.06   22.74    0.03   21.72    0.01
   662771 149.51869639  2.303817262   0.52 10.86  -1.12   25.10    0.13   23.93    0.05   22.63    0.03   21.65    0.01   20.75    0.01   20.29    0.00
   662782 149.63399655  2.305998690   0.96 10.29  -1.71   27.28   -1.00   27.15    0.43   25.69    0.18   24.73    0.08   23.56    0.04   22.78    0.03
   662871 150.01783128  2.305235846   0.72 10.68  -1.89   25.87    0.17   25.17    0.10   23.52    0.04   22.72    0.03   21.51    0.01   21.02    0.01
   662984 150.14273376  2.305156093   0.91 10.75  -0.37   25.51    0.12   25.20    0.10   24.59    0.09   23.87    0.05   22.80    0.02   21.97    0.01
   663097 149.41736642  2.303859126   0.74 11.12 -16.15   25.64    0.23   24.90    0.09   23.23    0.04   22.38    0.02   21.04    0.01   20.46    0.00
   663144 149.98279279  2.306477459   0.93 10.47  -0.44   25.70    0.16   25.45    0.11   24.93    0.10   24.35    0.06   23.42    0.03   22.59    0.02
   663210 150.00302143  2.306723757   0.76  9.56  -3.77   27.35    0.68   26.69    0.28   25.50    0.16   24.72    0.08   23.53    0.04   23.11    0.04
   663215 149.78002124  2.302357751   1.01 11.36  -1.93   26.69    0.68   25.37    0.14   24.06    0.07   22.86    0.03   21.65    0.01   20.64    0.01
   663359 149.61805332  2.306634667   1.19 10.62  -0.95   27.08    0.77   26.33    0.24   25.74    0.20   24.87    0.10   23.76    0.05   22.67    0.03
   663369 149.63385900  2.307600314   0.94  9.57   0.85   27.30   -1.00   27.69   -1.00   26.79    0.43   26.06    0.22   24.97    0.13   24.22    0.10
   663393 149.76924980  2.305018197   1.20 10.82  -0.04   25.29    0.16   24.83    0.09   24.44    0.08   23.65    0.04   22.70    0.02   21.76    0.01
   663394 149.89008038  2.307410759   0.86  9.85  -1.29   26.57    0.44   26.21    0.18   25.42    0.13   24.78    0.08   23.62    0.04   23.08    0.03
   663399 149.41157824  2.306681123   1.36 10.82 -12.13   27.16   -1.00   27.31    0.49   27.29   -1.00   25.98    0.22   24.71    0.11   23.62    0.06
   663496 149.66694344  2.302757422   0.52 10.95   0.03   23.50    0.03   22.89    0.03   21.94    0.02   21.05    0.01   20.24    0.01   19.84    0.00
   663512 150.74865465  2.307191459   0.20  8.35  -2.75   25.60    0.34   25.70    0.29   24.88    0.17   24.58    0.13   23.79    0.10   23.67    0.12
   663542 150.61092830  2.307754692   0.16  7.95  -4.49   27.15   -1.00   27.18    0.45   25.98    0.24   25.48    0.14   24.50    0.09   24.38    0.12
   663627 150.05613141  2.304302905   0.70 11.14  -0.19   24.32    0.06   23.85    0.05   22.66    0.03   21.87    0.02   20.78    0.01   20.24    0.00
   663663 149.83990469  2.303729964   0.37 10.26  -0.84   24.57    0.09   23.64    0.04   22.41    0.03   21.67    0.02   21.11    0.01   20.76    0.00
   663751 149.96958786  2.307238171   0.94 10.85  -6.03   27.30    0.72   27.49    0.52   25.56    0.16   24.33    0.06   23.10    0.03   22.16    0.02
   663776 149.63969583  2.307114668   0.85 10.68  -2.61   27.26   -1.00   26.26    0.21   24.64    0.09   23.63    0.04   22.40    0.02   21.67    0.01
   663783 150.18664626  2.307863562   0.42  9.25  -2.03   27.15    0.48   26.13    0.18   24.66    0.09   24.18    0.06   23.56    0.04   23.30    0.05
   663848 150.77366746  2.307725225   1.14 10.73  -8.31   27.21   -1.00   27.61   -1.00   26.40    0.32   24.86    0.09   23.66    0.05   22.61    0.02
   663881 150.32607962  2.305627654   0.92 10.81  -9.97   26.71    0.53   26.26    0.22   24.72    0.09   23.71    0.04   22.47    0.02   21.59    0.01
   663981 150.03793409  2.307482718   0.99 10.72  -2.56   27.14    0.53   26.39    0.22   25.43    0.15   24.29    0.06   23.09    0.03   22.12    0.02
   663997 149.84578008  2.308136131   1.71 10.84  -0.72   27.22   -1.00   27.46    0.55   26.25    0.27   26.07    0.24   24.96    0.12   24.11    0.08
   664005 149.98358277  2.308239913   0.91  9.77  -1.36   27.38   -1.00   27.07    0.39   26.00    0.24   25.26    0.12   24.16    0.06   23.43    0.05
   664017 149.89841941  2.306193997   1.01 10.80  -1.20   26.19    0.39   25.63    0.15   24.89    0.11   23.65    0.05   22.59    0.02   21.75    0.01
   664178 149.70545187  2.306283708   0.81 11.00  -0.12   25.49    0.18   25.03    0.10   23.93    0.06   23.19    0.03   21.98    0.02   21.37    0.01
   664197 149.84224112  2.303420965   0.51 10.97  -2.32   23.98    0.06   22.77    0.03   21.53    0.02   20.60    0.01   19.79    0.01   19.37    0.00
   664206 149.83327634  2.308825189   1.13 10.63   1.05   26.45    0.29   26.23    0.16   25.55    0.13   24.95    0.08   23.95    0.04   23.02    0.02
   664225 150.48199497  2.307922872   1.86 11.01  -0.13   26.47    0.43   26.13    0.22   26.01    0.27   25.31    0.14   24.59    0.11   23.85    0.09
   664240 149.69082882  2.305551922   0.34 10.70 -12.25   23.09    0.02   21.91    0.02   20.65    0.01   19.93    0.01   19.33    0.00   19.00    0.00
   664244 150.10263104  2.308182627   0.82 10.33  -0.58   26.94    0.44   26.45    0.23   25.36    0.14   24.61    0.07   23.37    0.03   22.79    0.03
   664288 150.50770191  2.305393874   0.98 10.76  -1.23   25.80    0.24   25.67    0.22   24.55    0.12   23.75    0.06   22.57    0.03   21.67    0.02
   664290 150.64430065  2.308615470   0.35  8.35  -4.38   27.04    0.73   26.08    0.18   25.02    0.11   24.43    0.07   24.05    0.06   23.83    0.07
   664295 149.93646974  2.309268872   0.25  8.30  -3.76   27.37   -1.00   27.36    0.42   26.04    0.20   25.30    0.11   24.65    0.08   24.41    0.10
   664304 150.08771222  2.304094349   0.52 10.83  -0.51   24.61    0.06   23.84    0.05   22.63    0.03   21.68    0.02   20.80    0.01   20.36    0.00
   664320 150.06340698  2.309115422   0.73  9.14  -4.19   27.63   -1.00   27.79   -1.00   26.32    0.29   25.59    0.15   24.43    0.08   23.95    0.09
   664325 150.74100585  2.308396511   0.83 10.22  -1.34   26.47    0.41   26.05    0.20   24.84    0.11   24.04    0.05   22.90    0.03   22.29    0.02
   664407 149.50213940  2.308531938   1.27 10.40  -0.45   26.26    0.36   25.91    0.18   25.43    0.15   24.99    0.11   24.06    0.06   23.02    0.04
   664428 149.97641540  2.308480752   0.93 10.42  -1.57   27.41   -1.00   26.24    0.20   25.01    0.11   24.17    0.06   23.10    0.03   22.32    0.02
   664532 149.67768356  2.309439029   0.27  8.27  -2.46   26.72   -1.00   26.33    0.34   25.71    0.28   24.99    0.15   24.35    0.12   24.38    0.19
   664548 149.66945619  2.308980176   1.86 10.61   0.03   26.72    0.50   26.09    0.19   25.56    0.17   25.28    0.13   24.90    0.13   24.34    0.11
   664557 150.59143284  2.307514939   0.83 10.77  -2.52   26.91    0.63   25.95    0.18   24.25    0.07   23.42    0.04   22.11    0.02   21.42    0.01
   664593 149.88940717  2.307951823   0.68 10.46  -1.09   26.49    0.44   25.77    0.14   24.37    0.07   23.52    0.04   22.40    0.02   21.95    0.01
   664600 149.50153697  2.305460444   0.93 11.20  -0.79   25.55    0.21   24.80    0.09   23.31    0.04   22.36    0.02   21.14    0.01   20.33    0.00
   664634 150.70876869  2.305978401   0.61 10.96  -1.02   25.76    0.24   24.44    0.07   22.91    0.03   22.07    0.02   20.99    0.01   20.48    0.00
   664693 150.10211824  2.309058014   0.37  8.71  -6.04   26.84    0.42   25.93    0.16   24.79    0.10   24.16    0.06   23.65    0.04   23.46    0.05
   664737 150.33147810  2.308708779   0.87 10.77  -0.57   27.28   -1.00   26.48    0.24   25.39    0.13   24.42    0.06   23.14    0.03   22.32    0.02
   664746 150.51832095  2.306809316   1.85 10.98  -0.58   27.02   -1.00   27.27   -1.00   27.03   -1.00   25.87    0.27   24.91    0.15   24.19    0.14
   664770 149.63551595  2.308331101   0.95 10.24  -0.61   25.52    0.16   25.51    0.12   24.86    0.10   24.06    0.05   22.98    0.03   22.29    0.02
   664797 150.30427001  2.309460962   0.03  6.87  -4.23   25.11    0.11   24.33    0.06   23.61    0.04   23.32    0.03   23.01    0.03   22.86    0.03
   664826 150.62113360  2.308090390   0.85 10.49  -7.26   27.03   -1.00   26.07    0.22   24.54    0.09   23.64    0.04   22.45    0.02   21.81    0.01
   664918 149.51730682  2.309340534   0.76  9.54  -1.31   26.35    0.39   26.47    0.26   25.25    0.14   24.65    0.08   23.69    0.05   23.30    0.05
   664923 149.73601591  2.309563531   1.43 10.93 -12.01   27.22   -1.00   27.54   -1.00   27.30   -1.00   26.13    0.28   24.51    0.09   23.68    0.07
   664955 150.05694185  2.308707892   0.68 10.33  -1.00   26.73    0.38   25.54    0.13   24.41    0.08   23.67    0.04   22.60    0.02   22.15    0.02
   665004 150.02853316  2.308287215   0.85 10.84   0.37   25.91    0.18   25.38    0.11   24.57    0.09   23.84    0.05   22.71    0.02   21.90    0.01
