# Original catalog: COSMOS2015_Laigle+_v1.1.fits.gz
# 
# Selected: 0 < ip (after correction) < 25.0,
#           ip_FLAGS < 4,
#           TYPE == 0,
#           PHOTOZ > 0,
#           CLASS == 0
# 
# Observe with: Single fibers
# 
# Date: 20 Jul 2021
# 
#  NUMBER  ALPHA_J2000  DELTA_J2000 PHOTOZ  MASS    SFR       u   u_err       B   B_err       V   V_err       r   r_err       i   i_err       z   z_err
   225071 149.78427217  1.619639239   0.68 11.23  -0.32   25.79    0.52   24.61    0.08   23.09    0.04   22.13    0.02   20.97    0.01   20.41    0.00
   225106 150.26508322  1.620073448   0.91 11.00  -0.56   24.90    0.15   24.46    0.07   23.42    0.05   22.54    0.02   21.38    0.01   20.61    0.00
   225117 149.95684635  1.622437619   0.93 10.42  -2.15   26.87   -1.00   26.89    0.31   25.44    0.15   24.42    0.06   23.35    0.04   22.50    0.02
   225148 150.13911953  1.619732870   0.52 10.91  -0.64   24.49    0.08   23.43    0.04   22.24    0.02   21.29    0.01   20.46    0.01   20.01    0.00
   225170 149.78904682  1.623305505   0.33  8.03  -4.17   26.74   -1.00   26.55    0.23   25.52    0.15   24.92    0.09   24.64    0.10   24.38    0.11
   225237 149.59031913  1.622019529   0.53 10.27  -3.02   26.16    0.50   24.80    0.07   23.45    0.04   22.51    0.02   21.64    0.01   21.19    0.01
   225251 150.17173598  1.621999862   0.32  9.66  -1.44   24.63    0.08   23.93    0.05   22.86    0.03   22.29    0.02   21.82    0.01   21.51    0.01
   225273 150.23137094  1.622588511   1.59 11.09 -11.85   26.87   -1.00   27.61    0.60   26.57    0.38   26.17    0.24   24.83    0.12   23.87    0.07
   225325 149.75057447  1.619792477   0.38  9.97  -1.15   24.72    0.24   24.10    0.07   22.94    0.04   22.13    0.02   21.56    0.02   21.31    0.01
   225345 150.06926258  1.624054691   0.14  7.40  -3.70   26.60    0.46   26.50    0.23   26.07    0.24   25.58    0.15   24.93    0.12   24.82    0.17
   225363 149.63640490  1.622873772   0.76 10.15  -8.89   26.69   -1.00   26.34    0.21   24.99    0.11   24.08    0.05   22.95    0.03   22.45    0.02
   225378 150.00187859  1.622921787   1.17 10.52  -1.47   27.02   -1.00   26.78    0.29   26.15    0.26   25.09    0.10   24.11    0.06   23.04    0.03
   225444 150.25509454  1.623784046   0.15  7.79  -3.31   26.99   -1.00   26.05    0.17   25.21    0.12   24.76    0.08   24.54    0.09   24.20    0.10
   225639 149.50393257  1.624273132   0.07  6.98  -4.68   26.81   -1.00   26.40    0.21   25.92    0.21   25.21    0.12   24.77    0.12   24.68    0.15
   225684 149.68465018  1.621719014   0.88  9.58   1.07   25.93    0.46   25.91    0.17   25.36    0.15   24.83    0.12   23.90    0.08   23.52    0.06
   225714 150.06835884  1.623860264   0.67  9.86  -1.26   26.93    0.61   26.27    0.19   25.38    0.14   24.54    0.07   23.53    0.04   23.14    0.04
   225772 150.18425272  1.622327651   0.18  8.62  -2.48   25.19    0.14   24.51    0.07   23.61    0.05   23.20    0.03   22.80    0.03   22.58    0.03
   225865 149.51731720  1.624437512   0.54  8.64  -1.69   26.87   -1.00   26.65    0.24   25.81    0.18   25.13    0.10   24.46    0.08   24.31    0.10
   225890 149.54289948  1.620523768   0.36 10.29  -1.28   23.25    0.04   22.31    0.02   21.14    0.01   20.49    0.01   19.98    0.01   19.65    0.00
   225920 149.76330779  1.622024667   0.37 10.87  -0.46   22.94    0.05   21.93    0.02   20.77    0.01   19.98    0.01   19.40    0.00   19.04    0.00
   225953 149.56901077  1.624172289   0.44  8.85  -1.73   26.49    0.65   25.75    0.13   24.84    0.10   24.11    0.05   23.62    0.04   23.39    0.05
   225972 150.02003367  1.624267746   1.25 10.26  -0.31   26.51    0.43   25.71    0.13   25.40    0.14   24.89    0.09   24.02    0.06   23.06    0.04
   226022 149.57710067  1.621950331   0.77 10.81  -1.19   25.49    0.31   24.85    0.08   23.30    0.04   22.50    0.02   21.26    0.01   20.73    0.00
   226087 150.22184610  1.621787802   0.72 10.96  -2.32   25.38    0.26   24.64    0.08   23.02    0.04   22.19    0.02   20.97    0.01   20.43    0.00
   226277 150.07181490  1.624701437   0.87 10.24 -23.55   26.49    0.42   26.24    0.21   26.39    0.35   26.27    0.31   24.85    0.13   23.50    0.06
   226298 149.89058397  1.624308362   1.26 11.00 -11.94   26.69   -1.00   27.71   -1.00   26.58    0.37   25.16    0.12   23.68    0.05   22.65    0.02
   226342 149.76841512  1.625603758   0.32  7.79  -4.41   26.64   -1.00   27.18    0.37   26.24    0.25   25.34    0.15   24.91    0.14   24.85    0.17
   226550 150.14479077  1.623507369   0.43 10.32  -5.84   25.51    0.18   24.13    0.05   22.88    0.03   21.98    0.02   21.30    0.01   20.90    0.01
   226726 150.31788632  1.625691653   0.34  8.83  -2.84   26.87   -1.00   26.52    0.25   25.67    0.17   24.90    0.09   24.11    0.06   23.84    0.06
   226754 149.71509882  1.624488376   0.62  9.57  -3.76   26.66   -1.00   25.71    0.14   24.51    0.08   23.73    0.04   22.74    0.02   22.38    0.02
   226797 149.63258718  1.625348334   0.77 10.08  -1.48   26.74   -1.00   26.32    0.20   24.90    0.10   23.97    0.06   22.82    0.03   22.32    0.02
   226897 150.02236857  1.625220141   1.35 10.84  -0.72   27.08   -1.00   26.58    0.27   25.87    0.23   25.06    0.11   23.70    0.05   22.73    0.03
   227176 149.93221873  1.626461738   1.54 10.87   1.74   26.59    0.69   26.23    0.20   26.63    0.40   25.84    0.21   24.77    0.12   24.04    0.09
   227288 150.03521276  1.623040065   0.64 10.70 -10.07   25.84    0.26   24.72    0.07   23.09    0.04   22.22    0.02   21.12    0.01   20.64    0.00
   227350 150.07816566  1.624145096   0.62 10.94 -29.36   26.09    0.33   24.80    0.08   23.29    0.04   22.36    0.02   21.25    0.01   20.71    0.00
   227353 150.14675303  1.625832352   0.86 10.16  -3.84   27.19    0.79   26.17    0.19   24.81    0.10   23.93    0.05   22.74    0.02   22.06    0.01
   227411 149.92797180  1.627049991   0.09  7.31  -5.13   26.89   -1.00   26.72    0.26   25.67    0.17   25.14    0.10   24.66    0.10   24.52    0.13
   227416 149.86239678  1.624465860   1.19 10.98  -2.35   25.72    0.36   24.79    0.08   24.28    0.07   23.33    0.04   22.19    0.02   21.07    0.01
   227435 149.88826905  1.625976252   0.67 10.19 -10.58   26.68   -1.00   25.86    0.15   24.52    0.08   23.58    0.04   22.51    0.02   22.06    0.02
   227480 150.21377197  1.625166381   0.68 10.52  -0.82   26.02    0.35   25.36    0.11   24.17    0.07   23.32    0.04   22.21    0.02   21.66    0.01
   227576 149.99504225  1.627120291   0.92 10.44  -0.68   27.03   -1.00   27.22    0.35   26.22    0.23   25.15    0.09   24.00    0.05   23.19    0.03
   227584 150.36889638  1.627608255   0.06  6.30  -5.90   26.60    0.64   26.35    0.23   25.52    0.16   25.18    0.11   24.69    0.10   24.70    0.14
   227742 149.64661629  1.625518411   0.89 11.08  -0.04   25.62    0.33   25.31    0.11   24.28    0.07   23.43    0.04   22.30    0.02   21.47    0.01
